start,end,position,line,text
00:00:33.117,00:00:33.350,-1,0,"<1></c><3>どうでもいいよ</c><2>うなかおをみせてよね</c><1></c>"
00:00:33.117,00:00:33.350,-1,-1,"<1></c><3>どうでもいいよ</c><2>うな顔を見せてよね</c><1></c>"
00:00:33.350,00:00:33.550,-1,0,"<1></c><3>どうでもいいよう</c><2>なかおをみせてよね</c><1></c>"
00:00:33.350,00:00:33.550,-1,-1,"<1></c><3>どうでもいいよう</c><2>な顔を見せてよね</c><1></c>"
00:00:33.550,00:00:33.984,-1,0,"<1></c><3>どうでもいいような</c><2>かおをみせてよね</c><1></c>"
00:00:33.550,00:00:33.984,-1,-1,"<1></c><3>どうでもいいような</c><2>顔を見せてよね</c><1></c>"
00:00:33.984,00:00:34.084,-1,0,"<1></c><3>どうでもいいようなか</c><2>おをみせてよね</c><1></c>"
00:00:33.984,00:00:34.084,-1,-1,"<1></c><3>どうでもいいような顔</c><2>を見せてよね</c><1></c>"
00:00:34.084,00:00:34.184,-1,0,"<1></c><3>どうでもいいようなかお</c><2>をみせてよね</c><1></c>"
00:00:34.084,00:00:34.184,-1,-1,"<1></c><3>どうでもいいような顔</c><2>を見せてよね</c><1></c>"
00:00:34.184,00:00:34.385,-1,0,"<1></c><3>どうでもいいようなかおを</c><2>みせてよね</c><1></c>"
00:00:34.184,00:00:34.385,-1,-1,"<1></c><3>どうでもいいような顔を</c><2>見せてよね</c><1></c>"
00:00:34.385,00:00:34.618,-1,0,"<1></c><3>どうでもいいようなかおをみ</c><2>せてよね</c><1></c>"
00:00:34.385,00:00:34.618,-1,-1,"<1></c><3>どうでもいいような顔を見</c><2>せてよね</c><1></c>"
00:00:34.618,00:00:34.818,-1,0,"<1></c><3>どうでもいいようなかおをみせ</c><2>てよね</c><1></c>"
00:00:34.618,00:00:34.818,-1,-1,"<1></c><3>どうでもいいような顔を見せ</c><2>てよね</c><1></c>"
00:00:34.818,00:00:35.019,-1,0,"<1></c><3>どうでもいいようなかおをみせて</c><2>よね</c><1></c>"
00:00:34.818,00:00:35.019,-1,-1,"<1></c><3>どうでもいいような顔を見せて</c><2>よね</c><1></c>"
00:00:35.019,00:00:35.219,-1,0,"<1></c><3>どうでもいいようなかおをみせてよ</c><2>ね</c><1></c>"
00:00:35.019,00:00:35.219,-1,-1,"<1></c><3>どうでもいいような顔を見せてよ</c><2>ね</c><1></c>"
00:00:35.219,00:00:35.452,-1,0,"<1></c><3>どうでもいいようなかおをみせてよね</c><1></c>"
00:00:35.219,00:00:35.452,-1,-1,"<1></c><3>どうでもいいような顔を見せてよね</c><1></c>"
00:00:35.452,00:00:35.886,-1,0,"<1></c><3>はぁ…</c><2>ぐうぞうねつぞうえんじょう</c><3>、</c><1></c>"
00:00:35.452,00:00:35.886,-1,-1,"<1></c><3>はぁ…</c><2>偶像捏造炎上</c><3>、</c><1></c>"
00:00:35.886,00:00:35.986,-1,0,"<1></c><3>はぁ…ぐ</c><2>うぞうねつぞうえんじょう</c><3>、</c><1></c>"
00:00:35.886,00:00:35.986,-1,-1,"<1></c><3>はぁ…偶</c><2>像捏造炎上</c><3>、</c><1></c>"
00:00:35.986,00:00:36.086,-1,0,"<1></c><3>はぁ…ぐう</c><2>ぞうねつぞうえんじょう</c><3>、</c><1></c>"
00:00:35.986,00:00:36.086,-1,-1,"<1></c><3>はぁ…偶</c><2>像捏造炎上</c><3>、</c><1></c>"
00:00:36.086,00:00:36.186,-1,0,"<1></c><3>はぁ…ぐうぞ</c><2>うねつぞうえんじょう</c><3>、</c><1></c>"
00:00:36.086,00:00:36.186,-1,-1,"<1></c><3>はぁ…偶像</c><2>捏造炎上</c><3>、</c><1></c>"
00:00:36.186,00:00:36.320,-1,0,"<1></c><3>はぁ…ぐうぞう</c><2>ねつぞうえんじょう</c><3>、</c><1></c>"
00:00:36.186,00:00:36.320,-1,-1,"<1></c><3>はぁ…偶像</c><2>捏造炎上</c><3>、</c><1></c>"
00:00:36.320,00:00:36.420,-1,0,"<1></c><3>はぁ…ぐうぞうね</c><2>つぞうえんじょう</c><3>、</c><1></c>"
00:00:36.320,00:00:36.420,-1,-1,"<1></c><3>はぁ…偶像捏</c><2>造炎上</c><3>、</c><1></c>"
00:00:36.420,00:00:36.520,-1,0,"<1></c><3>はぁ…ぐうぞうねつ</c><2>ぞうえんじょう</c><3>、</c><1></c>"
00:00:36.420,00:00:36.520,-1,-1,"<1></c><3>はぁ…偶像捏</c><2>造炎上</c><3>、</c><1></c>"
00:00:36.520,00:00:36.720,-1,0,"<1></c><3>はぁ…ぐうぞうねつぞう</c><2>えんじょう</c><3>、</c><1></c>"
00:00:36.520,00:00:36.720,-1,-1,"<1></c><3>はぁ…偶像捏造</c><2>炎上</c><3>、</c><1></c>"
00:00:36.720,00:00:36.854,-1,0,"<1></c><3>はぁ…ぐうぞうねつぞうえ</c><2>んじょう</c><3>、</c><1></c>"
00:00:36.720,00:00:36.854,-1,-1,"<1></c><3>はぁ…偶像捏造炎</c><2>上</c><3>、</c><1></c>"
00:00:36.854,00:00:36.954,-1,0,"<1></c><3>はぁ…ぐうぞうねつぞうえん</c><2>じょう</c><3>、</c><1></c>"
00:00:36.854,00:00:36.954,-1,-1,"<1></c><3>はぁ…偶像捏造炎</c><2>上</c><3>、</c><1></c>"
00:00:36.954,00:00:37.154,-1,0,"<1></c><3>はぁ…ぐうぞうねつぞうえんじょ</c><2>う</c><3>、</c><1></c>"
00:00:36.954,00:00:37.354,-1,-1,"<1></c><3>はぁ…偶像捏造炎上、</c><1></c>"
00:00:37.154,00:00:37.354,-1,0,"<1></c><3>はぁ…ぐうぞうねつぞうえんじょう、</c><1></c>"
00:00:37.354,00:00:37.454,-1,0,"<1></c><3>な</c><2>らべたならいっかくせんきん</c><3>？</c><1></c>"
00:00:37.354,00:00:37.454,-1,-1,"<1></c><3>並</c><2>べたなら一攫千金</c><3>？</c><1></c>"
00:00:37.454,00:00:37.588,-1,0,"<1></c><3>なら</c><2>べたならいっかくせんきん</c><3>？</c><1></c>"
00:00:37.454,00:00:37.588,-1,-1,"<1></c><3>並</c><2>べたなら一攫千金</c><3>？</c><1></c>"
00:00:37.588,00:00:37.688,-1,0,"<1></c><3>ならべ</c><2>たならいっかくせんきん</c><3>？</c><1></c>"
00:00:37.588,00:00:37.688,-1,-1,"<1></c><3>並べ</c><2>たなら一攫千金</c><3>？</c><1></c>"
00:00:37.688,00:00:37.788,-1,0,"<1></c><3>ならべた</c><2>ならいっかくせんきん</c><3>？</c><1></c>"
00:00:37.688,00:00:37.788,-1,-1,"<1></c><3>並べた</c><2>なら一攫千金</c><3>？</c><1></c>"
00:00:37.788,00:00:37.888,-1,0,"<1></c><3>ならべたな</c><2>らいっかくせんきん</c><3>？</c><1></c>"
00:00:37.788,00:00:37.888,-1,-1,"<1></c><3>並べたな</c><2>ら一攫千金</c><3>？</c><1></c>"
00:00:37.888,00:00:37.988,-1,0,"<1></c><3>ならべたなら</c><2>いっかくせんきん</c><3>？</c><1></c>"
00:00:37.888,00:00:37.988,-1,-1,"<1></c><3>並べたなら</c><2>一攫千金</c><3>？</c><1></c>"
00:00:37.988,00:00:38.088,-1,0,"<1></c><3>ならべたならい</c><2>っかくせんきん</c><3>？</c><1></c>"
00:00:37.988,00:00:38.088,-1,-1,"<1></c><3>並べたなら一</c><2>攫千金</c><3>？</c><1></c>"
00:00:38.088,00:00:38.188,-1,0,"<1></c><3>ならべたならいっ</c><2>かくせんきん</c><3>？</c><1></c>"
00:00:38.088,00:00:38.188,-1,-1,"<1></c><3>並べたなら一</c><2>攫千金</c><3>？</c><1></c>"
00:00:38.188,00:00:38.322,-1,0,"<1></c><3>ならべたならいっか</c><2>くせんきん</c><3>？</c><1></c>"
00:00:38.188,00:00:38.322,-1,-1,"<1></c><3>並べたなら一攫</c><2>千金</c><3>？</c><1></c>"
00:00:38.322,00:00:38.422,-1,0,"<1></c><3>ならべたならいっかく</c><2>せんきん</c><3>？</c><1></c>"
00:00:38.322,00:00:38.422,-1,-1,"<1></c><3>並べたなら一攫</c><2>千金</c><3>？</c><1></c>"
00:00:38.422,00:00:38.522,-1,0,"<1></c><3>ならべたならいっかくせ</c><2>んきん</c><3>？</c><1></c>"
00:00:38.422,00:00:38.522,-1,-1,"<1></c><3>並べたなら一攫千</c><2>金</c><3>？</c><1></c>"
