Character,File Numbers
フ,"{4, 9, 15, 19, 25, 27, 28, 33, 34, 37, 41, 42, 44, 50, 51, 54, 57, 59, 60, 62, 64, 68, 77, 79, 80, 81, 82, 83, 84, 86, 87, 90, 91, 92}"
ニ,"{4, 14, 15, 16, 26, 29, 38, 42, 44, 46, 49, 57, 59, 68, 69, 75, 77, 91, 92}"
ナ,"{5, 8, 12, 19, 21, 25, 38, 42, 43, 48, 49, 52, 54, 56, 57, 64, 68, 74, 77, 84, 86}"
ウ,"{8, 17, 19, 21, 27, 33, 43, 49, 54, 57, 68, 76, 90, 91}"
ゲ,"{9, 26, 29, 30, 68, 79, 92}"
ェ,"{10, 19, 27, 38, 40, 62, 64, 77, 79, 86}"
ユ,"{10, 19, 26, 32, 50, 54, 73, 91, 92}"
ベ,"{10, 17, 26, 27, 29, 30, 39, 40, 42, 49, 58, 64, 73, 74, 84}"
セ,"{13, 14, 19, 20, 38, 49, 57, 75, 77, 90, 91}"
ヤ,"{14, 15, 32, 44, 51, 67, 68, 86}"
ヴ,"{15, 19, 40, 56, 57, 60, 86}"
ァ,"{15, 19, 40, 56, 57, 59, 68, 77, 82, 87}"
ゴ,"{16, 19, 39, 42, 48, 50, 58, 64, 68, 77, 87}"
ザ,"{16, 42, 48, 50, 54, 59}"
ォ,"{17, 19, 28, 41, 54, 56, 60, 77, 86}"
ヱ,{18}
ヲ,{19}
ホ,"{19, 38, 42, 48, 50, 51, 56, 57, 67, 76, 79, 86}"
ヨ,"{21, 50, 76}"
ソ,"{21, 42, 54, 59, 74, 83, 86}"
ゥ,"{42, 82}"
ゾ,{85}
