Character,File Numbers
出,"{2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 23, 24, 26, 28, 29, 32, 33, 34, 35, 38, 39, 40, 41, 42, 43, 45, 46, 47, 48, 50, 51, 53, 55, 58, 63, 64, 72, 77, 78, 79, 82, 89, 91}"
現,"{2, 6, 33, 34, 69, 80}"
超,"{2, 19, 33, 52, 81}"
思,"{2, 6, 7, 10, 11, 14, 17, 19, 34, 35, 36, 37, 38, 39, 42, 43, 51, 56, 58, 59, 64, 65, 73, 77, 78, 89}"
重,"{2, 9, 15, 17, 23, 28, 29, 37, 39, 47, 51, 54, 58, 64}"
見,"{2, 4, 5, 6, 7, 9, 10, 11, 12, 15, 16, 17, 19, 20, 24, 25, 26, 31, 33, 35, 37, 38, 39, 41, 43, 44, 45, 47, 50, 52, 53, 54, 56, 57, 58, 59, 60, 61, 63, 64, 65, 67, 70, 73, 74, 75, 76, 77, 78, 79, 81, 82, 83, 85, 86, 87, 89, 90, 91}"
伝,"{2, 3, 13, 32, 33, 39, 47, 58, 60, 62, 64}"
火,"{2, 5, 8, 33, 35, 36, 37, 42, 50, 59, 76, 81, 83, 84}"
打,"{2, 8, 26, 33, 36, 37, 81, 86}"
幕,"{2, 48, 54}"
主,"{2, 19, 37, 39, 49, 58, 64}"
公,"{2, 19}"
胸,"{2, 11, 16, 19, 22, 34, 39, 41, 56, 58, 64, 80, 88, 89, 91}"
張,"{2, 15, 29, 39, 43, 44, 49, 51, 58, 64, 92}"
高,"{2, 6, 11, 15, 19, 21, 24, 34, 36, 41, 45, 49, 52, 57, 77, 80, 84, 86, 90}"
時,"{2, 4, 7, 11, 13, 14, 17, 25, 32, 34, 35, 37, 40, 41, 42, 44, 48, 49, 50, 51, 56, 57, 63, 65, 67, 69, 77, 80, 86, 87, 88, 90, 92}"
逢,"{2, 67, 69}"
跡,"{2, 7, 8, 25, 50, 63, 65, 68, 74}"
彩,"{2, 11}"
連,"{2, 4, 31, 36, 38, 46, 50, 65, 70, 79, 81}"
繋,"{2, 15, 33, 41, 53, 67, 81}"
誰,"{3, 16, 17, 21, 25, 26, 27, 28, 39, 50, 52, 54, 57, 58, 59, 60, 64, 69, 90, 91}"
言,"{3, 7, 9, 12, 13, 15, 16, 17, 24, 25, 27, 28, 31, 32, 33, 34, 36, 38, 39, 42, 46, 49, 54, 56, 58, 59, 60, 62, 63, 64, 65, 67, 68, 70, 72, 73, 76, 78, 80, 85, 87, 89, 91, 92}"
葉,"{3, 10, 12, 13, 16, 19, 24, 27, 31, 34, 38, 47, 63, 68, 70, 78, 80, 91}"
目,"{3, 4, 8, 12, 15, 17, 19, 22, 24, 25, 26, 29, 31, 35, 36, 37, 38, 42, 43, 45, 48, 50, 52, 54, 55, 59, 63, 68, 69, 70, 72, 74, 76, 77, 82, 86, 87, 88, 91}"
鼓,"{3, 32, 35, 36, 78}"
動,"{3, 8, 11, 12, 13, 14, 50, 63, 78, 84, 92}"
