start,end,position,line,text,unformatted
27.878,28.045,-1,-1,<2></c><1>人の背に</c><3>立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
27.878,28.045,-1,0,<2></c><1>ひとのせに</c><3>たつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.045,28.212,-1,-1,<2></c><1>人の背に立</c><3>つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.045,28.212,-1,0,<2></c><1>ひとのせにた</c><3>つせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.212,28.379,-1,-1,<2></c><1>人の背に立つ</c><3>背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.212,28.379,-1,0,<2></c><1>ひとのせにたつ</c><3>せにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.379,28.545,-1,-1,<2></c><1>人の背に立つ背</c><3>に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.379,28.545,-1,0,<2></c><1>ひとのせにたつせ</c><3>にたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.545,28.712,-1,-1,<2></c><1>人の背に立つ背に</c><3>立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.545,28.712,-1,0,<2></c><1>ひとのせにたつせに</c><3>たつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.712,28.879,-1,-1,<2></c><1>人の背に立つ背に立</c><3>つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.712,28.879,-1,0,<2></c><1>ひとのせにたつせにた</c><3>つあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
28.879,29.046,-1,-1,<2></c><1>人の背に立つ背に立つ</c><3>あなたの目</c><2></c>,人の背に立つ背に立つあなたの目
28.879,29.046,-1,0,<2></c><1>ひとのせにたつせにたつ</c><3>あなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
29.046,29.246,-1,-1,<2></c><1>人の背に立つ背に立つあ</c><3>なたの目</c><2></c>,人の背に立つ背に立つあなたの目
29.046,29.246,-1,0,<2></c><1>ひとのせにたつせにたつあ</c><3>なたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
29.246,29.413,-1,-1,<2></c><1>人の背に立つ背に立つあな</c><3>たの目</c><2></c>,人の背に立つ背に立つあなたの目
29.246,29.413,-1,0,<2></c><1>ひとのせにたつせにたつあな</c><3>たのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
29.413,29.58,-1,-1,<2></c><1>人の背に立つ背に立つあなた</c><3>の目</c><2></c>,人の背に立つ背に立つあなたの目
29.413,29.58,-1,0,<2></c><1>ひとのせにたつせにたつあなた</c><3>のめ</c><2></c>,ひとのせにたつせにたつあなたのめ
29.58,29.747,-1,-1,<2></c><1>人の背に立つ背に立つあなたの</c><3>目</c><2></c>,人の背に立つ背に立つあなたの目
29.58,29.747,-1,0,<2></c><1>ひとのせにたつせにたつあなたの</c><3>め</c><2></c>,ひとのせにたつせにたつあなたのめ
29.747,30.114,-1,-1,<2></c><1>人の背に立つ背に立つあなたの目</c><2></c>,人の背に立つ背に立つあなたの目
29.747,30.114,-1,0,<2></c><1>ひとのせにたつせにたつあなたのめ</c><2></c>,ひとのせにたつせにたつあなたのめ
30.114,30.28,-1,-1,<2></c><1>そ</c><3>の目その目が嫌い</c><2></c>,その目その目が嫌い
30.114,30.28,-1,0,<2></c><1>そ</c><3>のめそのめがきらい</c><2></c>,そのめそのめがきらい
30.28,30.447,-1,-1,<2></c><1>その</c><3>目その目が嫌い</c><2></c>,その目その目が嫌い
30.28,30.447,-1,0,<2></c><1>その</c><3>めそのめがきらい</c><2></c>,そのめそのめがきらい
30.447,30.781,-1,-1,<2></c><1>その目</c><3>その目が嫌い</c><2></c>,その目その目が嫌い
30.447,30.781,-1,0,<2></c><1>そのめ</c><3>そのめがきらい</c><2></c>,そのめそのめがきらい
30.781,30.948,-1,-1,<2></c><1>その目そ</c><3>の目が嫌い</c><2></c>,その目その目が嫌い
30.781,30.948,-1,0,<2></c><1>そのめそ</c><3>のめがきらい</c><2></c>,そのめそのめがきらい
30.948,31.148,-1,-1,<2></c><1>その目その</c><3>目が嫌い</c><2></c>,その目その目が嫌い
30.948,31.148,-1,0,<2></c><1>そのめその</c><3>めがきらい</c><2></c>,そのめそのめがきらい
31.148,31.315,-1,-1,<2></c><1>その目その目</c><3>が嫌い</c><2></c>,その目その目が嫌い
31.148,31.315,-1,0,<2></c><1>そのめそのめ</c><3>がきらい</c><2></c>,そのめそのめがきらい
31.315,31.482,-1,-1,<2></c><1>その目その目が</c><3>嫌い</c><2></c>,その目その目が嫌い
31.315,31.482,-1,0,<2></c><1>そのめそのめが</c><3>きらい</c><2></c>,そのめそのめがきらい
31.482,31.615,-1,-1,<2></c><1>その目その目が嫌</c><3>い</c><2></c>,その目その目が嫌い
31.482,31.615,-1,0,<2></c><1>そのめそのめがき</c><3>らい</c><2></c>,そのめそのめがきらい
31.615,31.815,-1,-1,<2></c><1>その目その目が嫌</c><3>い</c><2></c>,その目その目が嫌い
31.615,31.815,-1,0,<2></c><1>そのめそのめがきら</c><3>い</c><2></c>,そのめそのめがきらい
31.815,32.149,-1,-1,<2></c><1>その目その目が嫌い</c><2></c>,その目その目が嫌い
31.815,32.149,-1,0,<2></c><1>そのめそのめがきらい</c><2></c>,そのめそのめがきらい
32.149,32.316,-1,-1,<2></c><1>ま</c><3>た安地でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
32.149,32.316,-1,0,<2></c><1>ま</c><3>たあんちでつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
32.316,32.483,-1,-1,<2></c><1>また</c><3>安地でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
32.316,32.483,-1,0,<2></c><1>また</c><3>あんちでつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
32.483,32.649,-1,-1,<2></c><1>また安</c><3>地でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
32.483,32.649,-1,0,<2></c><1>またあ</c><3>んちでつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
32.649,32.85,-1,-1,<2></c><1>また安</c><3>地でつぶやく僻み達</c><2></c>,また安地でつぶやく僻み達
32.649,32.85,-1,0,<2></c><1>またあん</c><3>ちでつぶやくひがみたち</c><2></c>,またあんちでつぶやくひがみたち
