start,end,line,unformatted,token
130.581,131.915,-1,ふわふわり　優しい風,風
130.581,131.048,0,ふわふわりやさしいかぜ,か
131.048,131.915,0,ふわふわりやさしいかぜ,ぜ
131.915,132.116,0,かれいにはながちれるように,か
131.915,132.116,-1,華麗に花が散れるように,華
132.116,132.316,0,かれいにはながちれるように,れ
132.116,132.316,-1,華麗に花が散れるように,麗
132.316,132.549,0,かれいにはながちれるように,い
132.316,132.549,-1,華麗に花が散れるように,麗
132.549,132.749,0,かれいにはながちれるように,に
132.549,132.749,-1,華麗に花が散れるように,に
132.749,132.95,0,かれいにはながちれるように,は
132.749,132.95,-1,華麗に花が散れるように,花
132.95,133.15,0,かれいにはながちれるように,な
132.95,133.15,-1,華麗に花が散れるように,花
133.15,133.35,0,かれいにはながちれるように,が
133.15,133.35,-1,華麗に花が散れるように,が
133.35,133.517,0,かれいにはながちれるように,ち
133.35,133.517,-1,華麗に花が散れるように,散
133.517,133.75,0,かれいにはながちれるように,れ
133.517,133.75,-1,華麗に花が散れるように,れ
133.75,134.351,0,かれいにはながちれるように,る
133.75,134.351,-1,華麗に花が散れるように,る
134.351,134.952,0,かれいにはながちれるように,よ
134.351,134.952,-1,華麗に花が散れるように,よ
134.952,135.586,0,かれいにはながちれるように,う
134.952,135.586,-1,華麗に花が散れるように,う
135.586,136.82,0,かれいにはながちれるように,に
135.586,136.82,-1,華麗に花が散れるように,に
136.82,137.121,0,すこしせつないけど,す
136.82,137.121,-1,少し切ないけど,し
137.121,137.421,0,すこしせつないけど,こ
137.121,137.421,-1,少し切ないけど,し
137.421,137.888,0,すこしせつないけど,し
137.421,137.888,-1,少し切ないけど,し
137.888,138.322,0,すこしせつないけど,せ
137.888,138.322,-1,少し切ないけど,切
138.322,138.655,0,すこしせつないけど,つ
138.322,138.655,-1,少し切ないけど,切
138.655,139.256,0,すこしせつないけど,な
138.655,139.256,-1,少し切ないけど,な
139.256,139.857,0,すこしせつないけど,い
139.256,139.857,-1,少し切ないけど,い
139.857,140.491,0,すこしせつないけど,け
139.857,140.491,-1,少し切ないけど,け
140.491,141.058,0,すこしせつないけど,ど
140.491,141.058,-1,少し切ないけど,ど
141.058,141.992,0,みとどけて,み
141.058,141.992,-1,見届けて,見
141.992,142.292,0,みとどけて,と
141.992,142.292,-1,見届けて,届
142.292,142.893,0,みとどけて,ど
142.292,142.893,-1,見届けて,届
142.893,143.494,0,みとどけて,け
142.893,143.494,-1,見届けて,け
143.494,146.23,0,みとどけて,て
143.494,146.23,-1,見届けて,て
146.23,146.53,0,さきほこるわ,さ
146.23,146.53,-1,咲き誇るわ,咲
146.53,146.83,0,さきほこるわ,き
146.53,146.83,-1,咲き誇るわ,き
146.83,147.164,0,さきほこるわ,ほ
146.83,147.164,-1,咲き誇るわ,誇
147.164,147.464,0,さきほこるわ,こ
147.164,147.464,-1,咲き誇るわ,誇
147.464,147.764,0,さきほこるわ,る
147.464,147.764,-1,咲き誇るわ,る
147.764,148.365,0,さきほこるわ,わ
147.764,148.365,-1,咲き誇るわ,わ
148.365,148.532,0,もののけアイドルかみほとけ,も
148.365,148.532,-1,物怪偶像神仏,怪
148.532,148.665,0,もののけアイドルかみほとけ,の
148.532,148.665,-1,物怪偶像神仏,怪
148.665,148.832,0,もののけアイドルかみほとけ,の
148.665,148.832,-1,物怪偶像神仏,怪
148.832,148.999,0,もののけアイドルかみほとけ,け
148.832,148.999,-1,物怪偶像神仏,怪
148.999,149.133,0,もののけアイドルかみほとけ,ア
148.999,149.133,-1,物怪偶像神仏,怪
149.133,149.299,0,もののけアイドルかみほとけ,イ
149.133,149.299,-1,物怪偶像神仏,偶
149.299,149.433,0,もののけアイドルかみほとけ,ド
149.299,149.433,-1,物怪偶像神仏,偶
149.433,149.6,0,もののけアイドルかみほとけ,ル
149.433,149.6,-1,物怪偶像神仏,像
149.6,149.733,0,もののけアイドルかみほとけ,か
