start,end,line,unformatted,segments,ref_start,ref_end,common_number,remainder
93.077,93.277,0,unchanginginhumanity,"[(1, 'unchanging'), (3, 'inhumanity')]",False,False,3,inhumanity
92.91,93.077,0,unchanginginhumanity,"[(1, 'unchang'), (3, 'inginhumanity')]",False,False,3,inginhumanity
92.743,92.91,0,unchanginginhumanity,"[(1, 'un'), (3, 'changinginhumanity')]",False,False,3,changinginhumanity
94.378,94.912,-1,unchanginginhumanity,"[(1, 'unchanginginhumanity')]",False,False,3,unchanginginhumanity
94.178,94.378,-1,unchanginginhumanity,"[(1, 'unchanginginhumani'), (3, 'ty')]",False,False,3,ty
93.811,94.178,-1,unchanginginhumanity,"[(1, 'unchanginginhuman'), (3, 'ity')]",False,False,3,ity
93.677,93.811,-1,unchanginginhumanity,"[(1, 'unchanginginhu'), (3, 'manity')]",False,False,3,manity
93.277,93.677,-1,unchanginginhumanity,"[(1, 'unchangingin'), (3, 'humanity')]",False,False,3,humanity
93.077,93.277,-1,unchanginginhumanity,"[(1, 'unchanging'), (3, 'inhumanity')]",False,False,3,inhumanity
92.91,93.077,-1,unchanginginhumanity,"[(1, 'unchang'), (3, 'inginhumanity')]",False,False,3,inginhumanity
92.743,92.91,-1,unchanginginhumanity,"[(1, 'un'), (3, 'changinginhumanity')]",False,True,3,changinginhumanity
80.097,82.299,-1,video:lumina,"[(1, 'video:lumina')]",True,True,0,video:lumina
96.58,97.281,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofnoreturn"")]",True,False,3,we\'vereachedthepointofnoreturn
96.38,96.58,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofnore""), (3, 'turn')]",False,False,3,turn
96.013,96.38,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofno""), (3, 'return')]",False,False,3,return
95.846,96.013,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointof""), (3, 'noreturn')]",False,False,3,noreturn
95.479,95.846,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepoint""), (3, 'ofnoreturn')]",False,False,3,ofnoreturn
95.279,95.479,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthe""), (3, 'pointofnoreturn')]",False,False,3,pointofnoreturn
95.112,95.279,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereached""), (3, 'thepointofnoreturn')]",False,False,3,thepointofnoreturn
94.912,95.112,0,we\'vereachedthepointofnoreturn,"[(1, ""we\\'ve""), (3, 'reachedthepointofnoreturn')]",False,False,3,reachedthepointofnoreturn
96.58,97.281,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofnoreturn"")]",False,False,3,we\'vereachedthepointofnoreturn
96.38,96.58,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofnore""), (3, 'turn')]",False,False,3,turn
96.013,96.38,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointofno""), (3, 'return')]",False,False,3,return
95.846,96.013,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepointof""), (3, 'noreturn')]",False,False,3,noreturn
95.479,95.846,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthepoint""), (3, 'ofnoreturn')]",False,False,3,ofnoreturn
95.279,95.479,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereachedthe""), (3, 'pointofnoreturn')]",False,False,3,pointofnoreturn
95.112,95.279,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'vereached""), (3, 'thepointofnoreturn')]",False,False,3,thepointofnoreturn
94.912,95.112,-1,we\'vereachedthepointofnoreturn,"[(1, ""we\\'ve""), (3, 'reachedthepointofnoreturn')]",False,True,3,reachedthepointofnoreturn
198.849,200.284,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescapefromthechainsoftime?')]",True,False,3,willtheyeverescapefromthechainsoftime?
198.715,198.849,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescapefromthechainsof'), (3, 'time?')]",False,False,3,time?
198.515,198.715,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescapefromthechains'), (3, 'oftime?')]",False,False,3,oftime?
198.448,198.515,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescapefromthe'), (3, 'chainsoftime?')]",False,False,3,chainsoftime?
198.215,198.448,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescapefrom'), (3, 'thechainsoftime?')]",False,False,3,thechainsoftime?
197.981,198.215,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeverescape'), (3, 'fromthechainsoftime?')]",False,False,3,fromthechainsoftime?
197.781,197.981,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyeveres'), (3, 'capefromthechainsoftime?')]",False,False,3,capefromthechainsoftime?
197.681,197.781,0,willtheyeverescapefromthechainsoftime?,"[(1, 'willtheyever'), (3, 'escapefromthechainsoftime?')]",False,False,3,escapefromthechainsoftime?
