start,end,line,unformatted,segments,ref_start,ref_end,token,dupe
90.741,90.808,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,True
89.306,90.741,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (1, 'に')]",False,False,に,False
89.073,89.306,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (1, 'う'), (2, 'に')]",False,False,う,False
88.839,89.073,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (1, 'よ'), (2, 'う'), (2, 'に')]",False,False,よ,False
88.572,88.839,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (1, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,る,False
88.405,88.572,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (1, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,け,False
88.105,88.405,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (1, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,つ,False
87.938,88.105,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (1, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,り,False
87.805,87.938,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (1, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,ど,False
87.638,87.805,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (1, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,た,False
86.737,87.638,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (1, 'へ'), (2, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,へ,False
86.437,86.737,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (1, 'い'), (2, 'へ'), (2, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,い,False
86.103,86.437,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (1, 'か'), (2, 'い'), (2, 'へ'), (2, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,か,False
85.969,86.103,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (1, 'せ'), (2, 'か'), (2, 'い'), (2, 'へ'), (2, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,せ,False
85.669,85.969,0,えがいたせかいへたどりつけるように,"[(1, 'え'), (1, 'が'), (1, 'い'), (1, 'た'), (2, 'せ'), (2, 'か'), (2, 'い'), (2, 'へ'), (2, 'た'), (2, 'ど'), (2, 'り'), (2, 'つ'), (2, 'け'), (2, 'る'), (2, 'よ'), (2, 'う'), (2, 'に')]",False,False,た,False
